,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
0,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.148999,3.9935680000000002,0.0,0.0,benign
1,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,0.0,18.0,0.00195,0.0,0.0,18.150949,0.00195,0.00195,0.00195,benign
2,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,16.0,0.001929,0.0,0.0,18.152878,0.001929,0.003879,0.001929,benign
3,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,0.0,24.0,0.0,1.0,0.0,18.153879,0.001001,0.00488,0.001001,benign
4,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,0.0,16.0,0.001927,0.0,0.0,18.155806,0.001927,0.006807,0.001927,benign
5,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,0.0,24.0,0.0,0.0,0.0,18.163623,0.007817000000000001,0.014624000000000002,0.007817000000000001,benign
6,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,0.0,16.0,0.002919,0.0,0.0,18.166542,0.002919,0.017543,0.002919,benign
7,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,0.0,17.0,0.0,0.0,0.0,18.167517999999998,0.000976,0.018519,0.000976,benign
8,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,0.0,17.0,0.001954,0.0,0.0,18.169472,0.001954,0.020472999999999998,0.001954,benign
9,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,0.0,16.0,0.00195,0.0,0.0,18.171422,0.00195,0.022423,0.00195,benign
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.891339000000002,0.719917,0.0,0.0,benign
11,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,23.173154,4.281815,0.0,0.0,benign
12,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,1.0,18.0,0.00195,0.0,0.0,23.175104,0.00195,0.00195,0.00195,benign
13,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,1.0,16.0,0.001953,0.0,0.0,23.177057,0.001953,0.0039030000000000002,0.001953,benign
14,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,1.0,24.0,0.0,1.0,0.0,23.177057,0.0,0.0039030000000000002,0.0,benign
15,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,1.0,16.0,0.001952,0.0,0.0,23.179009,0.001952,0.005855,0.001952,benign
16,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,1.0,24.0,0.0,0.0,0.0,23.186817,0.007808,0.013663,0.007808,benign
17,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,1.0,16.0,0.001953,0.0,0.0,23.18877,0.001953,0.015616,0.001953,benign
18,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,1.0,17.0,0.0,0.0,0.0,23.189746,0.000976,0.016592,0.000976,benign
19,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,1.0,17.0,0.000975,0.0,0.0,23.190721,0.000975,0.017567,0.000975,benign
20,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,1.0,16.0,0.001953,0.0,0.0,23.192674,0.001953,0.01952,0.001953,benign
21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.609457,0.416783,0.0,0.0,benign
22,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,28.193502000000002,4.584045,0.0,0.0,benign
23,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,2.0,18.0,0.001935,0.0,0.0,28.195437,0.001935,0.001935,0.001935,benign
24,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,2.0,16.0,0.0019510000000000003,0.0,0.0,28.197388,0.0019510000000000003,0.003886,0.0019510000000000003,benign
25,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,2.0,24.0,0.0,1.0,0.0,28.197388,0.0,0.003886,0.0,benign
26,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,2.0,16.0,0.001952,0.0,0.0,28.199340000000003,0.001952,0.005838,0.001952,benign
27,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,2.0,24.0,0.0,0.0,0.0,28.206171,0.006831,0.012669,0.006831,benign
28,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,2.0,16.0,0.003908,0.0,0.0,28.210078999999997,0.003908,0.016577,0.003908,benign
29,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,2.0,17.0,0.0,0.0,0.0,28.211054999999998,0.000976,0.017553,0.000976,benign
30,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,2.0,17.0,0.002925,0.0,0.0,28.21398,0.002925,0.020478,0.002925,benign
31,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,2.0,16.0,0.0029289999999999997,0.0,0.0,28.216909,0.0029289999999999997,0.023407,0.0029289999999999997,benign
32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.36737,0.15046099999999998,0.0,0.0,benign
33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.127472999999995,4.760103,0.0,0.0,benign
